Source,Site,Phase,Context,SiteCode,Specimen,Element,GL,GLm,GLc,GH,GLP,CAW,Bp,Bd,Bg,LA,GB,BT,LG,SLC,Dd,Dp,SD
Martin,Wadi Jilat 6 (Upper),A,,WJ6_Upper,1-1-D,Tibia,,,,,,,,11.64,,,,,,,7.68,,
Martin,Wadi Jilat 6 (Upper),A,,WJ6_Upper,3-2-A,Tibia,,,,,,,13.94,,,,,,,,,,
Martin,Wadi Jilat 6 (Upper),A,,WJ6_Upper,3-5-A,Tibia,,,,,,,16.05,,,,,,,,,,
Martin,Wadi Jilat 6 (Upper),A,,WJ6_Upper,4-5-A,Tibia,,,,,,,,11.69,,,,,,,7.62,,
Martin,Wadi Jilat 7,1,A34a,WJ7,,Tibia,,,,,,,,10.4,,,,,,,6.3,,
Martin,Wadi Jilat 7,2,8 22A,WJ7,16,Astragalus,11.53,,,,,,,,,,,,,,,,
Martin,Wadi Jilat 7,2,6 27A,WJ7,24,Astragalus,13.08,,,,,,,,,,,,,,,,
Martin,Wadi Jilat 7,2,6 27A,WJ7,25,Astragalus,11.72,,,,,,,,,,,,,,,,
Martin,Wadi Jilat 7,2,1 5A,WJ7,2,Tibia,,,,,,,,10.72,,,,,,,,,
Martin,Wadi Jilat 7,2,6 27A,WJ7,22,Tibia,,,,,,,,10.66,,,,,,,,,
Martin,Wadi Jilat 7,2,6 27A,WJ7,23,Tibia,,,,,,,,9.74,,,,,,,,,
Martin,Wadi Jilat 7,3,A22d,WJ7,,Tibia,,,,,,,,10.8,,,,,,,6.7,,
Martin,Wadi Jilat 7,4,B 36A,WJ7,,Astragalus,12,,,,,,,,,,,,,,,,
Martin,Wadi Jilat 7,4,B33a,WJ7,,Calcaneum,24.9,,,,,,,,,,8.4,,,,,,
Martin,Wadi Jilat 7,,Ba1a,WJ7,,Calcaneum,23.8,,,,,,,,,,7.4,,,,,,
